"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Murray","Total participants",1080,2714,2495,2549,2616,2937,3501,3801,4229,4262,4001,3401,2523,1809,1764,43682,84014
"Murray","Eligible participants",1336,3760,3506,3493,3485,3831,4395,4603,4924,4852,4496,3771,2853,2090,2238,53633,105574
"Murray","Participation rate (%)",80.8,72.2,71.2,73,75.1,76.7,79.7,82.6,85.9,87.8,89,90.2,88.4,86.6,78.8,81.4,79.6
"Scullin","Total participants",1393,3942,3785,3901,3865,3946,4378,4250,4254,3686,3265,2434,1746,1144,884,46873,90749
"Scullin","Eligible participants",1643,4919,4879,5155,4984,4980,5350,5136,4950,4227,3711,2796,2037,1402,1170,57339,113566
"Scullin","Participation rate (%)",84.8,80.1,77.6,75.7,77.5,79.2,81.8,82.7,85.9,87.2,88,87.1,85.7,81.6,75.6,81.7,79.9
"Wannon","Total participants",1057,2612,2248,2364,2484,2764,3439,3772,4193,4229,4008,3297,2434,1707,1804,42412,81212
"Wannon","Eligible participants",1296,3506,3037,3109,3181,3495,4199,4456,4882,4730,4410,3614,2688,1925,2266,50794,99781
"Wannon","Participation rate (%)",81.6,74.5,74,76,78.1,79.1,81.9,84.6,85.9,89.4,90.9,91.2,90.6,88.7,79.6,83.5,81.4
"Wills","Total participants",1001,4539,5904,5998,5382,4630,4406,3855,3514,2920,2424,1999,1865,1665,1667,51769,98099
"Wills","Eligible participants",1152,5311,6846,7026,6344,5442,5199,4524,4029,3320,2831,2319,2259,2099,2253,60954,118268
"Wills","Participation rate (%)",86.9,85.5,86.2,85.4,84.8,85.1,84.7,85.2,87.2,88,85.6,86.2,82.6,79.3,74,84.9,82.9
"Victoria (Total)","Total participants",44520,130855,134506,139483,137849,141735,156738,148344,150084,138943,128102,104198,74643,52672,53923,1736595,3317755
"Victoria (Total)","Eligible participants",52518,163269,169260,176568,172864,173926,188193,174218,173138,157489,143372,116423,84649,62018,69272,2077177,4061389
"Victoria (Total)","Participation rate (%)",84.8,80.1,79.5,79,79.7,81.5,83.3,85.1,86.7,88.2,89.3,89.5,88.2,84.9,77.8,83.6,81.7
"Blair","Total participants",1122,3275,3487,3732,3272,3238,3581,3557,3733,3202,2888,2410,1649,1073,968,41187,78883
"Blair","Eligible participants",1486,4852,4965,5007,4374,4308,4538,4311,4410,3698,3302,2673,1891,1228,1202,52245,102858
"Blair","Participation rate (%)",75.5,67.5,70.2,74.5,74.8,75.2,78.9,82.5,84.6,86.6,87.5,90.2,87.2,87.4,80.5,78.8,76.7
"Bonner","Total participants",1310,3361,2920,3366,3640,4072,4304,3976,3838,3367,3063,2553,1918,1435,1520,44643,84239
"Bonner","Eligible participants",1568,4195,3704,4232,4537,4929,5093,4645,4380,3752,3384,2801,2118,1602,1852,52792,102220
"Bonner","Participation rate (%)",83.5,80.1,78.8,79.5,80.2,82.6,84.5,85.6,87.6,89.7,90.5,91.1,90.6,89.6,82.1,84.6,82.4
"Bowman","Total participants",1252,3071,2795,2974,3081,3493,4092,4181,4437,4188,4064,3245,2129,1384,1418,45804,86376
"Bowman","Eligible participants",1506,3972,3645,3822,3882,4416,4983,4958,5133,4736,4470,3550,2361,1567,1759,54760,106067
"Bowman","Participation rate (%)",83.1,77.3,76.7,77.8,79.4,79.1,82.1,84.3,86.4,88.4,90.9,91.4,90.2,88.3,80.6,83.6,81.4
"Brisbane","Total participants",1447,5414,5831,4954,4277,3984,4300,3613,3376,2811,2312,1727,1158,833,1063,47100,91733
"Brisbane","Eligible participants",1741,6705,7059,6129,5197,4749,5065,4153,3852,3166,2603,1917,1299,944,1287,55866,112389
"Brisbane","Participation rate (%)",83.1,80.7,82.6,80.8,82.3,83.9,84.9,87,87.6,88.8,88.8,90.1,89.1,88.2,82.6,84.3,81.6
"Capricornia","Total participants",963,2543,2855,2984,2875,2965,3480,3470,3800,3221,2875,2258,1663,1198,1028,38178,74064
"Capricornia","Eligible participants",1333,3857,4202,4374,4089,4098,4544,4352,4562,3778,3263,2558,1923,1398,1322,49653,98960
"Capricornia","Participation rate (%)",72.2,65.9,67.9,68.2,70.3,72.4,76.6,79.7,83.3,85.3,88.1,88.3,86.5,85.7,77.8,76.9,74.8
"Dawson","Total participants",918,2565,2784,2988,2887,3227,3702,3798,4022,3529,2966,2365,1685,1171,1018,39625,77343
"Dawson","Eligible participants",1244,3969,4201,4390,4186,4469,4867,4796,4869,4168,3384,2682,1902,1384,1297,51808,104286
"Dawson","Participation rate (%)",73.8,64.6,66.3,68.1,69,72.2,76.1,79.2,82.6,84.7,87.6,88.2,88.6,84.6,78.5,76.5,74.2
"Dickson","Total participants",1371,3219,3101,3323,3743,4157,4528,3982,3871,3399,3292,2439,1374,802,761,43362,83384
"Dickson","Eligible participants",1622,4228,4037,4207,4615,5097,5385,4648,4429,3815,3601,2650,1515,931,984,51764,101911
"Dickson","Participation rate (%)",84.5,76.1,76.8,79,81.1,81.6,84.1,85.7,87.4,89.1,91.4,92,90.7,86.1,77.3,83.8,81.8
"Fadden","Total participants",1245,3403,3112,3133,3254,3562,3988,3862,3920,3803,3875,3317,2113,1340,1229,45156,84587
"Fadden","Eligible participants",1606,4844,4563,4434,4474,4759,5118,4796,4728,4388,4383,3692,2388,1553,1550,57276,110821
"Fadden","Participation rate (%)",77.5,70.3,68.2,70.7,72.7,74.8,77.9,80.5,82.9,86.7,88.4,89.8,88.5,86.3,79.3,78.8,76.3
"Fairfax","Total participants",1193,2972,2825,3042,3309,3847,4455,4476,4681,4524,4361,3587,2450,1633,1620,48975,91238
"Fairfax","Eligible participants",1499,3975,3780,3979,4239,4843,5404,5306,5427,5069,4818,3953,2714,1841,1991,58838,112573
"Fairfax","Participation rate (%)",79.6,74.8,74.7,76.5,78.1,79.4,82.4,84.4,86.3,89.2,90.5,90.7,90.3,88.7,81.4,83.2,81
"Fisher","Total participants",1140,2576,2347,2591,2811,3290,3684,3797,4085,4111,4207,3762,2619,1702,1610,44332,83064
"Fisher","Eligible participants",1419,3538,3250,3453,3686,4166,4569,4530,4736,4622,4633,4074,2894,1911,1962,53443,102689
"Fisher","Participation rate (%)",80.3,72.8,72.2,75,76.3,79,80.6,83.8,86.3,88.9,90.8,92.3,90.5,89.1,82.1,83,80.9
"Flynn","Total participants",815,2418,2765,3185,2959,3277,3602,3779,3968,3331,2894,2237,1485,818,732,38265,76065
"Flynn","Eligible participants",1126,3804,4161,4540,4181,4403,4652,4627,4703,3811,3253,2460,1662,940,919,49242,100594
"Flynn","Participation rate (%)",72.4,63.6,66.5,70.2,70.8,74.4,77.4,81.7,84.4,87.4,89,90.9,89.4,87,79.7,77.7,75.6
"Forde","Total participants",1152,3234,3344,3508,3416,3527,3733,3345,3600,3262,3221,2471,1527,980,825,41145,77753
"Forde","Eligible participants",1484,4651,4799,4888,4695,4704,4743,4109,4278,3834,3648,2766,1762,1151,1064,52576,102176
"Forde","Participation rate (%)",77.6,69.5,69.7,71.8,72.8,75,78.7,81.4,84.2,85.1,88.3,89.3,86.7,85.1,77.5,78.3,76.1
"Griffith","Total participants",1337,4877,5356,5074,4586,4343,4447,3782,3403,2858,2266,1777,1193,968,1180,47447,90487
"Griffith","Eligible participants",1570,5951,6503,6237,5493,5232,5192,4322,3908,3247,2545,2000,1353,1129,1476,56158,110620
"Griffith","Participation rate (%)",85.2,82,82.4,81.4,83.5,83,85.7,87.5,87.1,88,89,88.9,88.2,85.7,79.9,84.5,81.8
"Groom","Total participants",1111,3080,3162,3168,3021,3205,3783,3681,3978,3657,3476,3058,2221,1647,1604,43852,82713
"Groom","Eligible participants",1459,4387,4403,4254,3987,4175,4594,4381,4554,4105,3792,3345,2421,1860,1938,53655,103430
"Groom","Participation rate (%)",76.1,70.2,71.8,74.5,75.8,76.8,82.3,84,87.4,89.1,91.7,91.4,91.7,88.5,82.8,81.7,80
"Herbert","Total participants",1198,3612,3564,3499,3276,3333,3616,3387,3635,3106,2663,2080,1480,955,860,40265,76758
"Herbert","Eligible participants",1640,5602,5447,5067,4632,4647,4860,4401,4471,3693,3068,2361,1722,1132,1166,53911,106423
"Herbert","Participation rate (%)",73,64.5,65.4,69.1,70.7,71.7,74.4,77,81.3,84.1,86.8,88.1,85.9,84.4,73.8,74.7,72.1
"Hinkler","Total participants",785,1874,1934,2031,2240,2523,3129,3416,4120,4528,4863,4383,3097,1951,1655,42529,80505
"Hinkler","Eligible participants",1098,3043,2996,3025,3282,3581,4077,4216,4893,5175,5407,4868,3475,2262,2067,53465,102930
"Hinkler","Participation rate (%)",71.5,61.6,64.6,67.1,68.3,70.5,76.7,81,84.2,87.5,89.9,90,89.1,86.3,80.1,79.5,78.2
"Kennedy","Total participants",635,1899,2181,2199,2447,2613,3216,3392,3782,3698,3307,2676,1898,1205,1063,36211,71207
"Kennedy","Eligible participants",949,3321,3764,3602,3799,4025,4624,4586,4855,4509,3889,3150,2291,1489,1436,50290,101001
"Kennedy","Participation rate (%)",66.9,57.2,57.9,61,64.4,64.9,69.6,74,77.9,82,85,85,82.8,80.9,74,72,70.5
"Leichhardt","Total participants",806,2332,2728,3015,3280,3577,3892,3819,4007,3586,3005,2179,1279,831,758,39094,75595
"Leichhardt","Eligible participants",1160,4231,4784,4944,5060,5391,5575,5222,5236,4469,3587,2631,1531,1015,1015,55851,111436
"Leichhardt","Participation rate (%)",69.5,55.1,57,61,64.8,66.4,69.8,73.1,76.5,80.2,83.8,82.8,83.5,81.9,74.7,70,67.8
"Lilley","Total participants",1202,3649,3963,4129,3866,4094,4233,3767,3823,3337,2928,2625,2103,1671,1821,47211,88880
"Lilley","Eligible participants",1467,4677,4956,5127,4797,4923,5087,4435,4372,3788,3286,2887,2332,1917,2289,56340,109129
"Lilley","Participation rate (%)",81.9,78,80,80.5,80.6,83.2,83.2,84.9,87.4,88.1,89.1,90.9,90.2,87.2,79.6,83.8,81.4
"Longman","Total participants",1228,3136,3077,3094,3055,3430,3852,3839,3986,3998,4162,3466,2196,1254,1094,44867,85102
"Longman","Eligible participants",1588,4629,4383,4309,4238,4499,4863,4702,4723,4543,4646,3840,2452,1463,1368,56246,109352
"Longman","Participation rate (%)",77.3,67.7,70.2,71.8,72.1,76.2,79.2,81.6,84.4,88,89.6,90.3,89.6,85.7,80,79.8,77.8
"Maranoa","Total participants",907,2364,2420,2646,2629,2976,3589,3758,4126,4010,3845,3179,2280,1465,1380,41574,81135
"Maranoa","Eligible participants",1213,3545,3567,3708,3700,3991,4518,4571,4812,4575,4305,3489,2529,1679,1694,51896,103688
"Maranoa","Participation rate (%)",74.8,66.7,67.8,71.4,71.1,74.6,79.4,82.2,85.7,87.7,89.3,91.1,90.2,87.3,81.5,80.1,78.2
"McPherson","Total participants",1185,3051,3086,3207,3471,3574,3871,3676,3961,3741,3531,3068,2038,1511,1581,44552,82749
"McPherson","Eligible participants",1506,4224,4234,4317,4514,4712,4930,4534,4731,4370,3999,3400,2306,1746,2026,55549,105963
"McPherson","Participation rate (%)",78.7,72.2,72.9,74.3,76.9,75.8,78.5,81.1,83.7,85.6,88.3,90.2,88.4,86.5,78,80.2,78.1
"Moncrieff","Total participants",992,3209,3130,2847,2727,2906,3318,3384,3678,3588,3588,3355,2350,1464,1677,42213,79497
"Moncrieff","Eligible participants",1305,4495,4488,3973,3770,3918,4344,4190,4457,4225,4094,3762,2655,1691,2160,53527,104729
"Moncrieff","Participation rate (%)",76,71.4,69.7,71.7,72.3,74.2,76.4,80.8,82.5,84.9,87.6,89.2,88.5,86.6,77.6,78.9,75.9
"Moreton","Total participants",1249,3593,3253,3507,3417,3429,3535,3341,3262,2977,2722,2202,1567,1167,1268,40489,78051
"Moreton","Eligible participants",1542,4544,4158,4577,4408,4283,4347,4005,3819,3438,3084,2460,1766,1346,1595,49372,98071
"Moreton","Participation rate (%)",81,79.1,78.2,76.6,77.5,80.1,81.3,83.4,85.4,86.6,88.3,89.5,88.7,86.7,79.5,82,79.6
"Oxley","Total participants",1214,3190,3220,3492,3525,3505,3736,3524,3310,2818,2498,1902,1242,897,752,38825,74244
"Oxley","Eligible participants",1533,4412,4425,4811,4776,4643,4806,4362,4033,3351,2895,2181,1454,1051,977,49710,97592
"Oxley","Participation rate (%)",79.2,72.3,72.8,72.6,73.8,75.5,77.7,80.8,82.1,84.1,86.3,87.2,85.4,85.3,77,78.1,76.1
"Petrie","Total participants",1172,3050,3125,3549,3649,3743,3824,3803,3834,3811,3838,3305,2326,1728,1736,46493,86411
"Petrie","Eligible participants",1489,4310,4364,4800,4858,4811,4798,4586,4476,4296,4232,3618,2609,1992,2184,57423,109734
"Petrie","Participation rate (%)",78.7,70.8,71.6,73.9,75.1,77.8,79.7,82.9,85.7,88.7,90.7,91.3,89.2,86.7,79.5,81,78.7
"Rankin","Total participants",1179,3229,3161,3634,3479,3491,3665,3395,3670,3277,3035,2103,1201,702,656,39877,76428
"Rankin","Eligible participants",1613,4760,4664,5190,4928,4644,4682,4268,4425,3864,3474,2393,1409,854,864,52032,102547
"Rankin","Participation rate (%)",73.1,67.8,67.8,70,70.6,75.2,78.3,79.5,82.9,84.8,87.4,87.9,85.2,82.2,75.9,76.6,74.5
"Ryan","Total participants",1933,4670,3513,3317,3648,4256,4336,3982,3767,3411,3195,2609,1636,1157,1341,46771,89580
"Ryan","Eligible participants",2214,5536,4180,3960,4366,4973,5069,4491,4205,3745,3481,2809,1793,1286,1677,53785,105803
"Ryan","Participation rate (%)",87.3,84.4,84,83.8,83.6,85.6,85.5,88.7,89.6,91.1,91.8,92.9,91.2,90,80,87,84.7
"Wide Bay","Total participants",811,1935,1782,2095,2438,2978,3647,4038,4706,4913,4830,3996,2554,1545,1421,43689,83891
"Wide Bay","Eligible participants",1067,2851,2635,2931,3383,3958,4660,4944,5571,5578,5428,4428,2883,1756,1741,53815,105536
"Wide Bay","Participation rate (%)",76,67.9,67.6,71.5,72.1,75.2,78.3,81.7,84.5,88.1,89,90.2,88.6,88,81.6,81.2,79.5
"Wright","Total participants",1240,2900,2662,2922,3240,3828,4371,4235,4230,3756,3595,2651,1605,935,818,42988,83201
"Wright","Eligible participants",1569,4089,3667,3975,4377,4973,5455,5120,4948,4256,3958,2944,1807,1074,1008,53220,105345
"Wright","Participation rate (%)",79,70.9,72.6,73.5,74,77,80.1,82.7,85.5,88.3,90.8,90,88.8,87.1,81.2,80.8,79
"Queensland (Total)","Total participants",34112,93701,93483,97205,97518,104443,115509,112055,116609,107818,101365,82985,56036,37422,36457,1286719,2455163
"Queensland (Total)","Eligible participants",43616,131197,129984,132262,130523,136320,145442,136567,137996,124064,113912,92342,63217,43192,45870,1606508,3150873
"Queensland (Total)","Participation rate (%)",78.2,71.4,71.9,73.5,74.7,76.6,79.4,82.1,84.5,86.9,89,89.9,88.6,86.6,79.5,80.1,77.9
"Adelaide","Total participants",1120,3750,4004,3820,3411,3472,3728,3791,4033,3879,3602,2716,1908,1423,1838,46495,89757
"Adelaide","Eligible participants",1341,4620,4897,4784,4319,4310,4579,4475,4622,4342,3970,3009,2156,1673,2390,55487,110234
"Adelaide","Participation rate (%)",83.5,81.2,81.8,79.8,79,80.6,81.4,84.7,87.3,89.3,90.7,90.3,88.5,85.1,76.9,83.8,81.4
"Barker","Total participants",912,2190,2159,2296,2449,2766,3508,3821,4311,4228,4104,3544,2486,1773,1765,42312,81568
"Barker","Eligible participants",1166,3198,3232,3392,3564,3885,4569,4727,5180,4849,4633,3927,2760,2044,2264,53390,105865
"Barker","Participation rate (%)",78.2,68.5,66.8,67.7,68.7,71.2,76.8,80.8,83.2,87.2,88.6,90.2,90.1,86.7,78,79.3,77
"Boothby","Total participants",1278,3507,2934,3028,3292,3490,3992,4148,4334,4139,4075,3295,2365,1711,2309,47897,90929
"Boothby","Eligible participants",1513,4225,3573,3708,4022,4180,4661,4739,4854,4629,4428,3577,2613,1921,2850,55493,107848
"Boothby","Participation rate (%)",84.5,83,82.1,81.7,81.8,83.5,85.6,87.5,89.3,89.4,92,92.1,90.5,89.1,81,86.3,84.3
"Grey","Total participants",704,1929,2293,2250,2179,2488,3229,3339,4099,4030,3885,3447,2381,1571,1574,39405,76821
"Grey","Eligible participants",936,3032,3497,3462,3345,3565,4400,4365,4973,4666,4392,3834,2683,1810,2060,51044,102148
"Grey","Participation rate (%)",75.2,63.6,65.6,65,65.1,69.8,73.4,76.5,82.4,86.4,88.5,89.9,88.7,86.8,76.4,77.2,75.2
"Hindmarsh","Total participants",1135,3503,3460,3399,3153,3376,3815,3895,4187,4077,3906,3399,2596,2101,2707,48709,91833
"Hindmarsh","Eligible participants",1345,4431,4267,4294,4019,4164,4615,4597,4833,4590,4347,3733,2907,2428,3409,57979,112381
"Hindmarsh","Participation rate (%)",84.4,79.1,81.1,79.2,78.5,81.1,82.7,84.7,86.6,88.8,89.9,91.1,89.3,86.5,79.4,84,81.7
"Kingston","Total participants",1159,3252,3475,3759,3414,3445,3691,3831,4132,4210,4024,2999,1859,1231,1194,45675,86682
"Kingston","Eligible participants",1397,4261,4437,4878,4366,4341,4478,4535,4738,4693,4404,3288,2090,1432,1529,54867,107446
"Kingston","Participation rate (%)",83,76.3,78.3,77.1,78.2,79.4,82.4,84.5,87.2,89.7,91.4,91.2,88.9,86,78.1,83.2,80.7
"Makin","Total participants",1132,3153,3112,3299,3268,3396,3794,3819,3928,3794,3774,3259,2164,1442,1262,44596,85532
"Makin","Eligible participants",1384,4148,4110,4440,4314,4395,4754,4572,4598,4298,4176,3569,2429,1630,1602,54419,107523
"Makin","Participation rate (%)",81.8,76,75.7,74.3,75.8,77.3,79.8,83.5,85.4,88.3,90.4,91.3,89.1,88.5,78.8,81.9,79.5
"Mayo","Total participants",1112,2514,2184,2451,2735,3386,4037,3954,4579,4774,4926,4025,2529,1573,1569,46348,88869
"Mayo","Eligible participants",1282,3112,2759,3085,3420,4158,4857,4649,5244,5290,5376,4392,2769,1793,1987,54173,106108
"Mayo","Participation rate (%)",86.7,80.8,79.2,79.4,80,81.4,83.1,85.1,87.3,90.2,91.6,91.6,91.3,87.7,79,85.6,83.8
"Port Adelaide","Total participants",1154,3528,3554,3781,3497,3490,4042,4147,4299,3824,3192,2499,1907,1454,1433,45801,87794
"Port Adelaide","Eligible participants",1454,4776,4836,5216,4758,4605,5183,5147,5202,4519,3699,2850,2191,1758,1921,58115,115047
"Port Adelaide","Participation rate (%)",79.4,73.9,73.5,72.5,73.5,75.8,78,80.6,82.6,84.6,86.3,87.7,87,82.7,74.6,78.8,76.3
"Sturt","Total participants",1162,3037,2738,2810,2969,3174,3865,3726,3834,3685,3667,3502,2653,1969,2436,45227,85215
"Sturt","Eligible participants",1382,3726,3495,3679,3844,4042,4807,4449,4451,4147,4084,3843,2978,2297,3096,54320,104625
"Sturt","Participation rate (%)",84.1,81.5,78.3,76.4,77.2,78.5,80.4,83.7,86.1,88.9,89.8,91.1,89.1,85.7,78.7,83.3,81.4
"Wakefield","Total participants",1261,3511,3514,3634,3107,3262,3855,4130,4186,3686,3275,2767,2028,1492,1365,45073,86553
"Wakefield","Eligible participants",1594,5047,5072,5228,4330,4407,4976,5083,5034,4318,3697,3105,2292,1750,1752,57686,114355
"Wakefield","Participation rate (%)",79.1,69.6,69.3,69.5,71.8,74,77.5,81.3,83.2,85.4,88.6,89.1,88.5,85.3,77.9,78.1,75.7
"South Australia (Total)","Total participants",12129,33874,33427,34527,33474,35745,41556,42601,45922,44326,42430,35452,24876,17740,19452,497538,951553
"South Australia (Total)","Eligible participants",14794,44576,44175,46166,44301,46052,51879,51338,53729,50341,47206,39127,27868,20536,24860,606973,1193580
"South Australia (Total)","Participation rate (%)",82,76,75.7,74.8,75.6,77.6,80.1,83,85.5,88.1,89.9,90.6,89.3,86.4,78.2,82,79.7
"Brand","Total participants",1156,3298,3618,3712,3259,3367,3698,3515,3224,2967,2579,2197,1563,1056,853,40062,77628
"Brand","Eligible participants",1458,4652,5063,5132,4459,4473,4671,4302,3882,3450,2939,2494,1786,1214,1049,51024,102094
"Brand","Participation rate (%)",79.3,70.9,71.5,72.3,73.1,75.3,79.2,81.7,83,86,87.8,88.1,87.5,87,81.3,78.5,76
"Burt","Total participants",1246,3450,3342,3728,3553,3184,3509,3320,3350,3125,2736,2060,1446,915,763,39727,77502
"Burt","Eligible participants",1563,4693,4585,5157,4855,4275,4467,4101,3984,3647,3120,2320,1635,1082,980,50464,101699
"Burt","Participation rate (%)",79.7,73.5,72.9,72.3,73.2,74.5,78.6,81,84.1,85.7,87.7,88.8,88.4,84.6,77.9,78.7,76.2
"Canning","Total participants",1053,2702,2692,2706,2638,2844,3382,3469,3939,3831,3897,3462,2400,1574,1206,41795,80719
"Canning","Eligible participants",1315,3761,3764,3796,3601,3758,4306,4252,4640,4421,4392,3816,2698,1801,1505,51826,102876
"Canning","Participation rate (%)",80.1,71.8,71.5,71.3,73.3,75.7,78.5,81.6,84.9,86.7,88.7,90.7,89,87.4,80.1,80.6,78.5
"Cowan","Total participants",1177,3050,2883,3414,3418,3400,3771,3566,3364,2998,2689,2063,1423,869,700,38785,75647
"Cowan","Eligible participants",1489,4014,3861,4534,4513,4378,4703,4345,4048,3499,3083,2327,1617,1057,896,48364,96977
"Cowan","Participation rate (%)",79,76,74.7,75.3,75.7,77.7,80.2,82.1,83.1,85.7,87.2,88.7,88,82.2,78.1,80.2,78
"Curtin","Total participants",1238,3264,3370,3158,2970,3249,3893,3771,3660,3533,3167,2708,2121,1553,1800,43455,82759
"Curtin","Eligible participants",1420,3873,4059,3844,3622,3896,4562,4363,4145,3943,3505,2958,2343,1750,2226,50509,98465
"Curtin","Participation rate (%)",87.2,84.3,83,82.2,82,83.4,85.3,86.4,88.3,89.6,90.4,91.5,90.5,88.7,80.9,86,84
"Durack","Total participants",612,1887,2722,3248,3088,2956,3231,3192,3257,2914,2335,1732,1168,761,568,33690,66626
"Durack","Eligible participants",891,3151,4317,5057,4755,4539,4771,4423,4297,3631,2801,2057,1378,918,788,47870,98054
"Durack","Participation rate (%)",68.7,59.9,63.1,64.2,64.9,65.1,67.7,72.2,75.8,80.3,83.4,84.2,84.8,82.9,72.1,70.4,67.9
"Forrest","Total participants",1039,2204,2507,2931,3201,3495,3960,3780,4199,4164,3722,2909,1998,1361,1168,42638,81122
"Forrest","Eligible participants",1294,3203,3455,3975,4240,4523,4909,4537,4939,4666,4162,3195,2219,1529,1463,52309,102874
"Forrest","Participation rate (%)",80.3,68.8,72.6,73.7,75.5,77.3,80.7,83.3,85,89.2,89.4,91,90,89,79.8,81.5,78.9
"Fremantle","Total participants",1183,3277,3499,3910,3700,3603,4075,3764,3730,3338,2979,2163,1623,1109,1062,43015,82336
"Fremantle","Eligible participants",1406,4103,4412,4861,4636,4542,4868,4394,4325,3840,3377,2433,1871,1314,1359,51741,102214
"Fremantle","Participation rate (%)",84.1,79.9,79.3,80.4,79.8,79.3,83.7,85.7,86.2,86.9,88.2,88.9,86.7,84.4,78.1,83.1,80.6
"Hasluck","Total participants",1109,2795,2647,2870,2996,3099,3547,3521,3617,3393,3270,2486,1745,1146,976,39217,76946
"Hasluck","Eligible participants",1331,3675,3523,3739,3865,3932,4401,4200,4160,3849,3661,2809,1972,1335,1250,47702,96516
"Hasluck","Participation rate (%)",83.3,76.1,75.1,76.8,77.5,78.8,80.6,83.8,86.9,88.2,89.3,88.5,88.5,85.8,78.1,82.2,79.7
"Moore","Total participants",1380,3550,2682,2815,2994,3427,4184,4407,4428,4085,3481,2310,1316,957,924,42940,83575
"Moore","Eligible participants",1571,4254,3320,3461,3686,4128,4912,5094,5047,4579,3854,2514,1460,1094,1137,50111,100491
"Moore","Participation rate (%)",87.8,83.5,80.8,81.3,81.2,83,85.2,86.5,87.7,89.2,90.3,91.9,90.1,87.5,81.3,85.7,83.2
"O'Connor","Total participants",927,2088,2328,2642,2641,2961,3512,3646,4199,3951,3596,2728,1990,1299,1174,39682,77775
"O'Connor","Eligible participants",1211,3196,3499,3843,3852,4036,4576,4621,5039,4546,4030,3094,2286,1518,1442,50790,102700
"O'Connor","Participation rate (%)",76.5,65.3,66.5,68.7,68.6,73.4,76.7,78.9,83.3,86.9,89.2,88.2,87.1,85.6,81.4,78.1,75.7
"Pearce","Total participants",1391,3486,3950,4158,3839,3908,4491,4000,3612,3130,2921,2234,1522,876,672,44190,85213
"Pearce","Eligible participants",1741,4885,5435,5674,5140,5183,5673,4912,4369,3658,3290,2518,1702,1004,836,56020,111614
"Pearce","Participation rate (%)",79.9,71.4,72.7,73.3,74.7,75.4,79.2,81.4,82.7,85.6,88.8,88.7,89.4,87.3,80.4,78.9,76.3
"Perth","Total participants",898,2951,4008,4163,3671,3364,3448,3274,3361,3182,2727,2043,1563,1111,1300,41065,80654
"Perth","Eligible participants",1049,3695,4936,5116,4599,4142,4169,3871,3889,3657,3111,2321,1789,1339,1669,49353,100133
"Perth","Participation rate (%)",85.6,79.9,81.2,81.4,79.8,81.2,82.7,84.6,86.4,87,87.7,88,87.4,83,77.9,83.2,80.5
"Stirling","Total participants",933,2752,3132,3567,3344,3241,3302,3122,3272,3315,3101,2564,2077,1538,1407,40668,77475
"Stirling","Eligible participants",1129,3605,4156,4742,4328,4189,4095,3827,3879,3831,3542,2911,2333,1786,1824,50178,98820
"Stirling","Participation rate (%)",82.6,76.3,75.4,75.2,77.3,77.4,80.6,81.6,84.4,86.5,87.5,88.1,89,86.1,77.1,81,78.4
"Swan","Total participants",987,3413,3438,3465,3117,2915,3048,3005,3156,3097,2758,2128,1656,1273,1561,39017,76108
"Swan","Eligible participants",1267,4491,4566,4612,4068,3705,3745,3638,3740,3611,3139,2388,1905,1465,2007,48347,97965
"Swan","Participation rate (%)",77.9,76,75.3,75.1,76.6,78.7,81.4,82.6,84.4,85.8,87.9,89.1,86.9,86.9,77.8,80.7,77.7
"Tangney","Total participants",1308,3098,2388,2310,2587,3039,3547,3742,3944,3811,3424,2579,1998,1493,1822,41090,78602
"Tangney","Eligible participants",1490,3689,2937,2882,3214,3723,4185,4304,4431,4259,3776,2810,2200,1673,2187,47760,93528
"Tangney","Participation rate (%)",87.8,84,81.3,80.2,80.5,81.6,84.8,86.9,89,89.5,90.7,91.8,90.8,89.2,83.3,86,84
"Western Australia (Total)","Total participants",17637,47265,49206,52797,51016,52052,58598,57094,58312,54834,49382,38366,27609,18891,17956,651036,1260687
"Western Australia (Total)","Eligible participants",21625,62940,65888,70425,67433,67422,73013,69184,68814,63087,55782,42965,31194,21879,22618,804368,1607020
"Western Australia (Total)","Participation rate (%)",81.6,75.1,74.7,75,75.7,77.2,80.3,82.5,84.7,86.9,88.5,89.3,88.5,86.3,79.4,80.9,78.4
"Bass","Total participants",760,2156,1968,1986,2070,2172,2659,2681,2963,2844,2702,2265,1671,1187,1176,31260,58904
"Bass","Eligible participants",946,2974,2749,2699,2715,2870,3335,3275,3459,3222,2974,2521,1856,1350,1466,38411,74391
"Bass","Participation rate (%)",80.3,72.5,71.6,73.6,76.2,75.7,79.7,81.9,85.7,88.3,90.9,89.8,90,87.9,80.2,81.4,79.2
"Braddon","Total participants",717,1638,1611,1648,1709,1905,2519,2604,3040,2943,2809,2354,1687,1225,1073,29482,55781
"Braddon","Eligible participants",940,2605,2510,2456,2544,2690,3302,3289,3599,3409,3162,2639,1895,1414,1369,37823,73413
"Braddon","Participation rate (%)",76.3,62.9,64.2,67.1,67.2,70.8,76.3,79.2,84.5,86.3,88.8,89.2,89,86.6,78.4,77.9,76
"Denison","Total participants",890,2397,2392,2304,2338,2375,2680,2704,2997,2808,2603,2124,1465,1131,1240,32448,61164
